# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (g),Mach number (​),Drag coefficient (​)
0.01,0.001,0.104,10.367,1167202.097,0.006,0.344
0.02,0.004,0.592,48.87,1167201.978,0.006,0.342
0.03,0.013,1.18,58.748,1167201.794,0.007,0.337
0.04,0.028,1.767,58.747,1167201.611,0.008,0.331
0.05,0.048,2.355,58.747,1167201.427,0.009,0.325
0.06,0.075,2.942,58.747,1167201.244,0.01,0.32
0.07,0.107,3.53,58.746,1167201.06,0.012,0.315
0.08,0.145,4.117,58.746,1167200.876,0.013,0.311
0.09,0.189,4.705,58.745,1167200.693,0.015,0.307
0.1,0.239,5.292,58.745,1167200.509,0.016,0.303
0.11,0.295,5.88,58.744,1167200.326,0.018,0.3
0.12,0.357,6.467,58.743,1167200.142,0.02,0.298
0.13,0.425,7.054,58.743,1167199.959,0.021,0.295
0.14,0.498,7.642,58.742,1167199.775,0.023,0.293
0.15,0.577,8.229,58.741,1167199.592,0.025,0.291
0.16,0.663,8.817,58.74,1167199.408,0.026,0.289
0.17,0.754,9.404,58.74,1167199.225,0.028,0.287
0.18,0.851,9.991,58.739,1167199.041,0.03,0.286
0.19,0.954,10.579,58.738,1167198.858,0.032,0.284
0.199,1.056,11.134,58.737,1167198.684,0.033,0.283
0.214,1.22,11.967,58.735,1167198.424,0.036,0.281
0.235,1.488,13.216,58.733,1167198.034,0.039,0.279
0.267,1.939,15.09,58.729,1167197.448,0.045,0.275
0.315,2.729,17.9,58.723,1167196.57,0.053,0.271
0.365,3.697,20.836,58.715,1167195.653,0.062,0.268
0.415,4.812,23.772,58.706,1167194.735,0.07,0.265
0.465,6.074,26.707,58.697,1167193.817,0.079,0.263
0.515,7.483,29.641,58.686,1167192.9,0.087,0.26
0.565,9.038,32.575,58.674,1167191.982,0.096,0.259
0.615,10.74,35.509,58.661,1167191.065,0.104,0.257
0.665,12.589,38.441,58.647,1167190.147,0.113,0.256
0.715,14.585,41.373,58.632,1167189.23,0.122,0.255
0.765,16.727,44.305,58.616,1167188.312,0.13,0.253
0.815,19.015,47.235,58.599,1167187.394,0.139,0.253
0.865,21.45,50.165,58.581,1167186.477,0.148,0.252
0.915,24.032,53.093,58.561,1167185.559,0.156,0.251
0.965,26.759,56.021,58.54,1167184.642,0.165,0.25
1.015,29.634,58.947,58.518,1167183.724,0.173,0.25
1.065,32.654,61.873,58.495,1167182.807,0.182,0.249
1.115,35.821,64.797,58.47,1167181.889,0.191,0.249
1.165,39.134,67.72,58.444,1167180.971,0.199,0.248
1.215,42.593,70.641,58.416,1167180.054,0.208,0.248
1.265,46.198,73.561,58.387,1167179.136,0.216,0.248
1.315,49.949,76.48,58.356,1167178.219,0.225,0.248
1.365,53.846,79.397,58.323,1167177.301,0.234,0.248
1.415,57.888,82.312,58.288,1167176.383,0.242,0.247
1.465,62.077,85.225,58.252,1167175.466,0.251,0.247
1.515,66.411,88.137,58.213,1167174.548,0.259,0.247
1.565,70.891,91.047,58.173,1167173.631,0.268,0.247
1.615,75.516,93.954,58.132,1167172.713,0.276,0.248
1.665,80.286,96.86,58.088,1167171.796,0.285,0.248
1.715,85.202,99.763,58.043,1167170.878,0.294,0.248
1.765,90.262,102.664,57.997,1167169.96,0.302,0.248
1.815,95.468,105.563,57.95,1167169.043,0.311,0.248
1.865,100.818,108.459,57.902,1167168.125,0.319,0.248
1.915,106.314,111.353,57.852,1167167.208,0.328,0.249
1.965,111.954,114.244,57.804,1167166.29,0.336,0.249
2.015,117.738,117.133,57.754,1167165.373,0.345,0.249
2.065,123.667,120.02,57.704,1167164.455,0.353,0.25
2.115,129.74,122.904,57.655,1167163.537,0.362,0.25
2.165,135.957,125.785,57.608,1167162.62,0.37,0.251
2.215,142.319,128.665,57.56,1167161.702,0.379,0.251
2.265,148.824,131.541,57.513,1167160.785,0.387,0.252
2.315,155.473,134.416,57.468,1167159.867,0.396,0.252
2.365,162.265,137.288,57.426,1167158.95,0.404,0.253
2.415,169.202,140.158,57.381,1167158.032,0.413,0.253
2.465,176.281,143.026,57.336,1167157.114,0.421,0.254
2.515,183.504,145.892,57.29,1167156.197,0.43,0.255
2.565,190.87,148.755,57.242,1167155.279,0.438,0.255
2.615,198.38,151.616,57.193,1167154.362,0.447,0.256
2.665,206.032,154.475,57.14,1167153.444,0.455,0.257
2.715,213.827,157.33,57.085,1167152.527,0.464,0.257
2.765,221.765,160.183,57.027,1167151.609,0.472,0.258
2.815,229.845,163.033,56.967,1167150.691,0.481,0.259
2.865,238.068,165.88,56.903,1167149.774,0.489,0.26
2.915,246.433,168.723,56.837,1167148.856,0.497,0.261
2.965,254.94,171.563,56.767,1167147.939,0.506,0.261
3.015,263.589,174.4,56.695,1167147.021,0.514,0.262
3.065,272.38,177.233,56.62,1167146.104,0.523,0.263
3.115,281.313,180.062,56.542,1167145.186,0.531,0.264
3.165,290.386,182.887,56.462,1167144.268,0.54,0.265
3.215,299.601,185.708,56.377,1167143.351,0.548,0.266
3.265,308.957,188.525,56.29,1167142.433,0.556,0.267
3.315,318.454,191.337,56.198,1167141.516,0.565,0.268
3.365,328.091,194.144,56.101,1167140.598,0.573,0.269
3.415,337.868,196.947,56.003,1167139.681,0.581,0.27
3.465,347.785,199.744,55.9,1167138.763,0.59,0.271
3.515,357.842,202.537,55.797,1167137.845,0.598,0.273
3.565,368.039,205.324,55.697,1167136.928,0.606,0.274
3.615,378.375,208.107,55.603,1167136.01,0.615,0.275
3.665,388.85,210.885,55.513,1167135.093,0.623,0.276
3.715,399.463,213.658,55.43,1167134.175,0.631,0.277
3.765,410.215,216.428,55.349,1167133.258,0.639,0.279
3.815,421.106,219.193,55.27,1167132.34,0.648,0.28
3.865,432.135,221.955,55.189,1167131.422,0.656,0.281
3.915,443.301,224.712,55.105,1167130.505,0.664,0.282
3.965,454.606,227.465,55.018,1167129.587,0.672,0.284
4.015,466.048,230.214,54.927,1167128.67,0.681,0.285
4.065,477.627,232.958,54.83,1167127.752,0.689,0.287
4.115,489.343,235.697,54.727,1167126.834,0.697,0.288
4.165,501.197,238.43,54.62,1167125.917,0.705,0.289
4.215,513.186,241.159,54.509,1167124.999,0.713,0.291
4.265,525.312,243.881,54.391,1167124.082,0.722,0.292
4.315,537.574,246.598,54.265,1167123.164,0.73,0.294
4.365,549.972,249.308,54.133,1167122.247,0.738,0.296
4.415,562.505,252.011,53.996,1167121.329,0.746,0.297
4.465,575.173,254.707,53.859,1167120.411,0.754,0.299
4.515,587.976,257.396,53.717,1167119.494,0.762,0.3
4.565,600.912,260.079,53.578,1167118.576,0.77,0.302
4.615,613.983,262.754,53.44,1167117.659,0.778,0.304
4.665,627.188,265.423,53.306,1167116.741,0.786,0.305
4.715,640.525,268.085,53.18,1167115.824,0.794,0.307
4.765,653.996,270.741,53.054,1167114.906,0.802,0.309
4.815,667.599,273.391,52.934,1167113.988,0.81,0.311
4.865,681.335,276.034,52.817,1167113.071,0.818,0.313
4.915,695.203,278.672,52.697,1167112.153,0.826,0.315
4.965,709.202,281.304,52.566,1167111.236,0.834,0.317
5.015,723.333,283.929,52.429,1167110.318,0.842,0.319
5.065,737.595,286.547,52.284,1167109.401,0.85,0.321
5.115,751.988,289.157,52.132,1167108.483,0.858,0.323
5.165,766.511,291.76,51.974,1167107.565,0.866,0.325
5.215,781.163,294.354,51.807,1167106.648,0.873,0.327
5.265,795.946,296.94,51.633,1167105.73,0.881,0.33
5.315,810.857,299.517,51.449,1167104.813,0.889,0.332
5.365,825.897,302.085,51.262,1167103.895,0.897,0.335
5.415,841.066,304.644,51.095,1167102.978,0.905,0.337
5.465,856.362,307.195,50.939,1167102.06,0.912,0.338
5.515,871.785,309.738,50.787,1167101.142,0.92,0.339
5.565,887.335,312.273,50.588,1167100.225,0.928,0.343
5.615,903.012,314.795,50.295,1167099.307,0.935,0.351
5.665,918.815,317.303,50.001,1167098.39,0.943,0.359
5.715,934.742,319.795,49.699,1167097.472,0.951,0.367
5.765,950.794,322.272,49.375,1167096.555,0.958,0.376
5.815,966.969,324.733,49.039,1167095.637,0.966,0.384
5.865,983.267,327.176,48.692,1167094.719,0.973,0.392
5.915,999.686,329.602,48.337,1167093.802,0.981,0.401
5.965,1016.227,332.009,47.97,1167092.884,0.988,0.409
6.015,1032.887,334.399,47.597,1167091.967,0.995,0.417
6.065,1049.666,336.77,47.299,1167091.049,1.003,0.422
6.115,1066.564,339.131,47.148,1167090.132,1.01,0.422
6.165,1083.579,341.484,47.002,1167089.214,1.017,0.422
6.215,1100.712,343.831,46.866,1167088.296,1.024,0.422
6.265,1117.962,346.171,46.739,1167087.379,1.031,0.422
6.315,1135.329,348.505,46.614,1167086.461,1.039,0.422
6.365,1152.813,350.833,46.489,1167085.544,1.046,0.423
6.415,1170.412,353.154,46.378,1167084.626,1.053,0.422
6.465,1188.128,355.471,46.292,1167083.708,1.06,0.42
6.515,1205.959,357.783,46.2,1167082.791,1.067,0.418
6.565,1223.906,360.091,46.103,1167081.873,1.074,0.417
6.615,1241.968,362.393,46.004,1167080.956,1.081,0.415
6.665,1260.145,364.691,45.904,1167080.038,1.088,0.413
6.715,1278.437,366.984,45.808,1167079.121,1.095,0.412
6.765,1296.844,369.272,45.691,1167078.203,1.103,0.411
6.815,1315.364,371.552,45.54,1167077.285,1.11,0.411
6.865,1333.999,373.826,45.393,1167076.368,1.117,0.411
6.915,1352.747,376.092,45.252,1167075.45,1.124,0.412
6.965,1371.608,378.351,45.12,1167074.533,1.131,0.412
7.015,1390.582,380.604,44.987,1167073.615,1.138,0.413
7.065,1409.668,382.85,44.851,1167072.698,1.145,0.413
7.115,1428.867,385.089,44.706,1167071.78,1.151,0.413
7.165,1448.177,387.32,44.553,1167070.862,1.158,0.414
7.215,1467.599,389.544,44.395,1167069.945,1.165,0.414
7.265,1487.131,391.76,44.238,1167069.027,1.172,0.415
7.315,1506.774,393.968,44.076,1167068.11,1.179,0.415
7.365,1526.528,396.167,43.914,1167067.192,1.186,0.416
7.415,1546.391,398.359,43.756,1167066.275,1.193,0.416
7.465,1566.364,400.543,43.602,1167065.357,1.2,0.417
7.515,1586.445,402.721,43.502,1167064.439,1.206,0.416
7.565,1606.636,404.893,43.409,1167063.522,1.213,0.415
7.615,1626.935,407.062,43.318,1167062.604,1.22,0.414
7.665,1647.342,409.225,43.231,1167061.687,1.227,0.413
7.715,1667.857,411.385,43.144,1167060.769,1.234,0.412
7.765,1688.48,413.54,43.052,1167059.852,1.24,0.411
7.815,1709.211,415.69,42.958,1167058.934,1.247,0.41
7.865,1730.049,417.835,42.856,1167058.016,1.254,0.409
7.915,1750.994,419.976,42.757,1167057.099,1.261,0.408
7.965,1772.047,422.111,42.661,1167056.181,1.267,0.407
8.015,1793.205,424.242,42.557,1167055.264,1.274,0.406
8.065,1814.471,426.367,42.455,1167054.346,1.281,0.406
8.115,1835.842,428.487,42.359,1167053.429,1.288,0.405
8.165,1857.319,430.603,42.269,1167052.511,1.294,0.404
8.215,1878.902,432.714,42.184,1167051.593,1.301,0.403
8.265,1900.591,434.822,42.116,1167050.676,1.308,0.402
8.315,1922.384,436.926,42.044,1167049.758,1.314,0.401
8.365,1944.283,439.026,41.966,1167048.841,1.321,0.4
8.415,1966.287,441.122,41.887,1167047.923,1.328,0.399
8.465,1988.395,443.214,41.802,1167047.006,1.334,0.398
8.515,2010.608,445.302,41.713,1167046.088,1.341,0.397
8.565,2032.925,447.386,41.628,1167045.17,1.347,0.396
8.615,2055.347,449.465,41.549,1167044.253,1.354,0.395
8.665,2077.872,451.541,41.475,1167043.335,1.361,0.394
8.715,2100.501,453.613,41.4,1167042.418,1.367,0.393
8.765,2123.233,455.681,41.323,1167041.5,1.374,0.392
8.815,2146.069,457.745,41.246,1167040.583,1.381,0.391
8.865,2169.008,459.805,41.168,1167039.665,1.387,0.39
8.915,2192.049,461.862,41.091,1167038.747,1.394,0.389
8.965,2215.194,463.915,41.022,1167037.83,1.4,0.388
9.015,2238.441,465.964,40.952,1167036.912,1.407,0.388
9.065,2261.79,468.01,40.881,1167035.995,1.413,0.387
9.115,2285.242,470.052,40.812,1167035.077,1.42,0.386
9.165,2308.795,472.091,40.743,1167034.159,1.427,0.385
9.215,2332.451,474.127,40.672,1167033.242,1.433,0.384
9.265,2356.208,476.158,40.6,1167032.324,1.44,0.383
9.315,2380.066,478.186,40.526,1167031.407,1.446,0.382
9.365,2404.026,480.211,40.452,1167030.489,1.453,0.381
9.415,2428.087,482.232,40.378,1167029.572,1.459,0.381
9.465,2452.249,484.249,40.308,1167028.654,1.466,0.38
9.515,2476.512,486.262,40.238,1167027.736,1.472,0.379
9.565,2500.876,488.273,40.171,1167026.819,1.479,0.378
9.615,2525.339,490.28,40.103,1167025.901,1.485,0.377
9.665,2549.904,492.283,40.04,1167024.984,1.492,0.377
9.715,2574.568,494.284,39.978,1167024.066,1.498,0.376
9.765,2599.332,496.281,39.917,1167023.149,1.505,0.375
9.815,2624.196,498.275,39.86,1167022.231,1.511,0.374
9.865,2649.159,500.267,39.798,1167021.313,1.518,0.373
9.915,2674.222,502.255,39.738,1167020.396,1.524,0.373
9.965,2699.385,504.241,39.678,1167019.478,1.531,0.372
10.015,2724.646,506.223,39.614,1167018.561,1.537,0.371
10.065,2750.007,508.202,39.549,1167017.643,1.544,0.37
10.115,2775.467,510.178,39.483,1167016.726,1.55,0.37
10.165,2801.025,512.15,39.417,1167015.808,1.557,0.369
10.215,2826.682,514.12,39.35,1167014.89,1.563,0.368
10.265,2852.437,516.085,39.286,1167013.973,1.57,0.368
10.315,2878.29,518.048,39.229,1167013.055,1.576,0.367
10.365,2904.241,520.008,39.179,1167012.138,1.583,0.366
10.415,2930.291,521.966,39.129,1167011.22,1.589,0.365
10.465,2956.438,523.921,39.078,1167010.303,1.596,0.365
10.515,2982.683,525.874,39.029,1167009.385,1.602,0.364
10.565,3009.025,527.824,38.98,1167008.467,1.608,0.363
10.615,3035.465,529.772,38.923,1167007.55,1.615,0.363
10.665,3062.003,531.716,38.862,1167006.632,1.621,0.362
10.715,3088.637,533.658,38.806,1167005.715,1.628,0.361
10.765,3115.368,535.597,38.751,1167004.797,1.634,0.361
10.815,3142.197,537.533,38.697,1167003.88,1.641,0.36
10.865,3169.122,539.467,38.644,1167002.962,1.647,0.359
10.915,3196.143,541.398,38.593,1167002.044,1.654,0.359
10.965,3223.261,543.326,38.543,1167001.127,1.66,0.358
11.015,3250.476,545.252,38.493,1167000.209,1.666,0.357
11.065,3277.786,547.175,38.443,1166999.292,1.673,0.357
11.115,3305.193,549.096,38.395,1166998.374,1.679,0.356
11.165,3332.696,551.015,38.349,1166997.457,1.686,0.355
11.215,3360.295,552.931,38.304,1166996.539,1.692,0.355
11.265,3387.989,554.845,38.256,1166995.621,1.699,0.354
11.315,3415.779,556.757,38.218,1166994.704,1.705,0.353
11.365,3443.665,558.667,38.184,1166993.786,1.711,0.353
11.415,3471.646,560.576,38.155,1166992.869,1.718,0.352
11.465,3499.722,562.483,38.127,1166991.951,1.724,0.351
11.515,3527.894,564.388,38.094,1166991.033,1.731,0.35
11.565,3556.161,566.292,38.063,1166990.116,1.737,0.349
11.615,3584.523,568.194,38.032,1166989.198,1.744,0.349
11.665,3612.981,570.095,38.002,1166988.281,1.75,0.348
11.715,3641.533,571.995,37.974,1166987.363,1.756,0.347
11.765,3670.18,573.893,37.947,1166986.446,1.763,0.346
11.815,3698.922,575.789,37.919,1166985.528,1.769,0.345
11.865,3727.759,577.685,37.889,1166984.61,1.776,0.345
11.915,3756.691,579.578,37.858,1166983.693,1.782,0.344
11.965,3785.717,581.47,37.827,1166982.775,1.789,0.343
12.015,3814.838,583.361,37.798,1166981.858,1.795,0.342
12.065,3844.053,585.25,37.772,1166980.94,1.802,0.342
12.115,3873.363,587.138,37.749,1166980.023,1.808,0.341
12.165,3902.767,589.025,37.728,1166979.105,1.814,0.34
12.215,3932.265,590.911,37.712,1166978.187,1.821,0.339
12.265,3961.858,592.796,37.697,1166977.27,1.827,0.339
12.315,3991.545,594.681,37.68,1166976.352,1.834,0.338
12.365,4021.326,596.564,37.659,1166975.435,1.84,0.337
12.415,4051.201,598.447,37.638,1166974.517,1.847,0.336
12.465,4081.17,600.328,37.619,1166973.6,1.853,0.336
12.515,4111.234,602.209,37.6,1166972.682,1.86,0.335
12.565,4141.391,604.088,37.581,1166971.764,1.866,0.334
12.615,4171.643,605.967,37.561,1166970.847,1.873,0.333
12.665,4201.988,607.844,37.544,1166969.929,1.879,0.333
12.715,4232.427,609.721,37.526,1166969.012,1.886,0.332
12.765,4262.96,611.597,37.508,1166968.094,1.892,0.331
12.815,4293.587,613.472,37.493,1166967.177,1.899,0.33
12.865,4324.307,615.346,37.479,1166966.259,1.905,0.33
12.915,4355.121,617.22,37.466,1166965.341,1.912,0.329
12.965,4386.029,619.093,37.454,1166964.424,1.918,0.328
13.015,4417.031,620.965,37.443,1166963.506,1.925,0.328
13.065,4448.126,622.837,37.435,1166962.589,1.932,0.327
13.115,4479.315,624.709,37.426,1166961.671,1.938,0.326
13.165,4510.597,626.58,37.414,1166960.754,1.945,0.326
13.215,4541.972,628.45,37.398,1166959.836,1.951,0.325
13.265,4573.442,630.32,37.387,1166958.918,1.958,0.324
13.315,4605.004,632.189,37.376,1166958.001,1.964,0.323
13.365,4636.661,634.057,37.368,1166957.083,1.971,0.323
13.415,4668.41,635.926,37.362,1166956.166,1.977,0.322
13.465,4700.253,637.794,37.352,1166955.248,1.984,0.321
13.515,4732.19,639.661,37.35,1166954.331,1.991,0.321
13.565,4764.219,641.529,37.348,1166953.413,1.997,0.32
13.615,4796.342,643.396,37.34,1166952.495,2.004,0.319
13.665,4828.559,645.263,37.325,1166951.578,2.01,0.319
13.715,4860.869,647.128,37.31,1166950.66,2.017,0.318
13.765,4893.272,648.994,37.296,1166949.743,2.024,0.318
13.815,4925.768,650.858,37.28,1166948.825,2.03,0.317
13.865,4958.357,652.722,37.265,1166947.907,2.037,0.317
13.915,4991.04,654.585,37.253,1166946.99,2.044,0.316
13.965,5023.816,656.447,37.238,1166946.072,2.05,0.316
14.015,5056.685,658.308,37.22,1166945.155,2.057,0.315
14.065,5089.647,660.169,37.201,1166944.237,2.064,0.315
14.115,5122.702,662.028,37.184,1166943.32,2.07,0.315
14.165,5155.85,663.887,37.171,1166942.402,2.077,0.314
14.215,5189.09,665.746,37.161,1166941.484,2.084,0.314
14.265,5222.424,667.603,37.153,1166940.567,2.09,0.313
14.315,5255.851,669.461,37.146,1166939.649,2.097,0.313
14.365,5289.37,671.318,37.142,1166938.732,2.104,0.312
14.415,5322.983,673.175,37.138,1166937.814,2.11,0.312
14.465,5356.688,675.032,37.133,1166936.897,2.117,0.311
14.515,5390.486,676.889,37.131,1166935.979,2.124,0.311
14.565,5424.377,678.745,37.129,1166935.061,2.13,0.31
14.615,5458.36,680.601,37.126,1166934.144,2.137,0.31
14.665,5492.437,682.458,37.124,1166933.226,2.144,0.309
14.715,5526.606,684.314,37.118,1166932.309,2.151,0.309
14.765,5560.868,686.17,37.114,1166931.391,2.157,0.309
14.815,5595.223,688.025,37.109,1166930.474,2.164,0.308
14.865,5629.671,689.88,37.102,1166929.556,2.171,0.308
14.915,5664.211,691.735,37.096,1166928.638,2.178,0.307
14.965,5698.844,693.59,37.092,1166927.721,2.184,0.307
15.015,5733.57,695.444,37.086,1166926.803,2.191,0.306
15.065,5768.389,697.299,37.079,1166925.886,2.198,0.306
15.115,5803.3,699.152,37.074,1166924.968,2.205,0.305
15.165,5838.304,701.006,37.072,1166924.051,2.212,0.305
15.215,5873.4,702.86,37.069,1166923.133,2.218,0.305
15.265,5908.59,704.713,37.072,1166922.215,2.225,0.304
15.315,5943.872,706.567,37.074,1166921.298,2.232,0.304
15.365,5979.246,708.42,37.08,1166920.38,2.239,0.303
15.415,6014.714,710.275,37.085,1166919.463,2.246,0.303
15.465,6050.274,712.129,37.088,1166918.545,2.253,0.302
15.515,6085.927,713.983,37.091,1166917.628,2.26,0.302
15.565,6121.672,715.838,37.098,1166916.71,2.266,0.302
15.615,6157.511,717.693,37.106,1166915.792,2.273,0.301
15.665,6193.442,719.549,37.112,1166914.875,2.28,0.301
15.715,6229.465,721.404,37.118,1166913.957,2.287,0.3
15.765,6265.582,723.261,37.128,1166913.04,2.294,0.3
15.815,6301.791,725.117,37.137,1166912.122,2.301,0.299
15.865,6338.094,726.974,37.147,1166911.205,2.308,0.299
15.915,6374.489,728.832,37.158,1166910.287,2.315,0.299
15.965,6410.977,730.69,37.169,1166909.369,2.322,0.298
16.015,6447.558,732.549,37.178,1166908.452,2.329,0.298
16.065,6484.232,734.408,37.188,1166907.534,2.336,0.297
16.115,6520.999,736.268,37.194,1166906.617,2.343,0.297
16.165,6557.859,738.127,37.201,1166905.699,2.35,0.297
16.215,6594.811,739.988,37.207,1166904.782,2.357,0.296
16.265,6631.857,741.848,37.213,1166903.864,2.364,0.296
16.315,6668.996,743.709,37.223,1166902.946,2.371,0.295
16.365,6706.228,745.57,37.233,1166902.029,2.378,0.295
16.415,6743.553,747.432,37.244,1166901.111,2.385,0.295
16.465,6780.972,749.295,37.254,1166900.194,2.392,0.294
16.515,6818.483,751.158,37.269,1166899.276,2.399,0.294
16.565,6856.087,753.022,37.283,1166898.358,2.406,0.293
16.615,6893.785,754.886,37.298,1166897.441,2.413,0.293
16.665,6931.576,756.751,37.314,1166896.523,2.42,0.293
16.715,6969.46,758.618,37.332,1166895.606,2.428,0.292
16.765,7007.438,760.485,37.35,1166894.688,2.435,0.292
16.815,7045.509,762.353,37.363,1166893.771,2.442,0.292
16.865,7083.673,764.221,37.378,1166892.853,2.449,0.291
16.915,7121.931,766.09,37.394,1166891.935,2.456,0.291
16.965,7160.282,767.961,37.411,1166891.018,2.463,0.29
17.015,7198.727,769.832,37.43,1166890.1,2.471,0.29
17.065,7237.265,771.703,37.447,1166889.183,2.478,0.29
17.115,7275.897,773.576,37.466,1166888.265,2.485,0.289
17.165,7314.623,775.45,37.486,1166887.348,2.492,0.289
17.215,7353.442,777.325,37.509,1166886.43,2.5,0.288
17.265,7392.355,779.201,37.531,1166885.512,2.507,0.288
17.315,7431.362,781.078,37.555,1166884.595,2.514,0.288
17.365,7470.463,782.957,37.582,1166883.677,2.521,0.287
17.415,7509.658,784.836,37.604,1166882.76,2.529,0.287
17.465,7548.947,786.717,37.619,1166881.842,2.536,0.287
17.515,7588.33,788.598,37.638,1166880.925,2.543,0.286
17.565,7627.807,790.481,37.659,1166880.007,2.551,0.286
17.615,7667.378,792.364,37.679,1166879.089,2.558,0.285
17.665,7707.043,794.249,37.702,1166878.172,2.565,0.285
17.715,7746.803,796.134,37.727,1166877.254,2.573,0.285
17.765,7786.657,798.021,37.754,1166876.337,2.58,0.284
17.815,7826.605,799.91,37.78,1166875.419,2.588,0.284
17.865,7866.648,801.799,37.803,1166874.502,2.595,0.284
17.915,7906.785,803.69,37.831,1166873.584,2.603,0.283
17.965,7947.017,805.582,37.862,1166872.666,2.61,0.283
18.015,7987.343,807.476,37.893,1166871.749,2.618,0.283
18.065,8027.764,809.372,37.918,1166870.831,2.625,0.282
18.115,8068.28,811.268,37.945,1166869.914,2.633,0.282
18.165,8108.891,813.166,37.971,1166868.996,2.64,0.282
18.215,8149.597,815.065,37.998,1166868.079,2.648,0.281
18.265,8190.398,816.966,38.025,1166867.161,2.655,0.281
18.315,8231.293,818.868,38.055,1166866.243,2.663,0.28
18.365,8272.284,820.771,38.086,1166865.326,2.67,0.28
18.415,8313.371,822.676,38.119,1166864.408,2.678,0.28
18.465,8354.552,824.583,38.151,1166863.491,2.686,0.279
18.515,8395.829,826.492,38.185,1166862.573,2.693,0.279
18.565,8437.201,828.402,38.22,1166861.656,2.701,0.279
18.615,8478.669,830.314,38.257,1166860.738,2.709,0.278
18.665,8520.233,832.227,38.292,1166859.82,2.716,0.278
18.715,8561.892,834.143,38.324,1166858.903,2.724,0.278
18.765,8603.647,836.06,38.354,1166857.985,2.732,0.277
18.815,8645.498,837.978,38.387,1166857.068,2.739,0.277
18.865,8687.445,839.898,38.42,1166856.15,2.747,0.277
18.915,8729.488,841.82,38.453,1166855.232,2.755,0.276
18.965,8771.627,843.744,38.488,1166854.315,2.763,0.276
19.015,8813.862,845.669,38.523,1166853.397,2.771,0.276
19.065,8856.194,847.596,38.561,1166852.48,2.779,0.275
19.115,8898.622,849.525,38.596,1166851.562,2.786,0.275
19.165,8941.146,851.456,38.633,1166850.645,2.794,0.275
19.215,8983.767,853.388,38.67,1166849.727,2.802,0.274
19.265,9026.485,855.323,38.705,1166848.809,2.81,0.274
19.315,9069.3,857.259,38.737,1166847.892,2.818,0.274
19.365,9112.211,859.197,38.769,1166846.974,2.826,0.273
19.415,9155.219,861.136,38.802,1166846.057,2.834,0.273
19.465,9198.325,863.077,38.836,1166845.139,2.842,0.273
19.515,9241.527,865.019,38.871,1166844.222,2.85,0.272
19.565,9284.827,866.964,38.908,1166843.304,2.858,0.272
19.615,9328.224,868.91,38.946,1166842.386,2.866,0.272
19.665,9371.718,870.859,38.985,1166841.469,2.874,0.271
19.715,9415.309,872.809,39.025,1166840.551,2.882,0.271
19.765,9458.999,874.761,39.068,1166839.634,2.89,0.271
19.815,9502.786,876.716,39.112,1166838.716,2.898,0.27
19.865,9546.67,878.672,39.148,1166837.799,2.906,0.27
19.915,9590.653,880.63,39.187,1166836.881,2.914,0.27
19.965,9634.733,882.591,39.229,1166835.963,2.923,0.269
20.015,9678.912,884.553,39.269,1166835.046,2.931,0.269
20.065,9723.189,886.518,39.312,1166834.128,2.939,0.269
20.115,9767.564,888.484,39.357,1166833.211,2.947,0.268
20.165,9812.037,890.454,39.403,1166832.293,2.955,0.268
20.215,9856.609,892.425,39.448,1166831.376,2.964,0.268
20.265,9901.28,894.398,39.495,1166830.458,2.972,0.267
20.315,9946.049,896.374,39.543,1166829.54,2.98,0.267
20.365,9990.917,898.353,39.594,1166828.623,2.989,0.267
20.415,10035.884,900.333,39.637,1166827.705,2.997,0.266
20.465,10080.951,902.316,39.681,1166826.788,3.005,0.266
20.515,10126.116,904.302,39.727,1166825.87,3.014,0.266
20.565,10171.381,906.289,39.773,1166824.953,3.022,0.265
20.615,10216.745,908.279,39.82,1166824.035,3.031,0.265
20.665,10262.209,910.271,39.869,1166823.117,3.039,0.265
20.715,10307.772,912.266,39.92,1166822.2,3.048,0.265
20.765,10353.435,914.263,39.97,1166821.282,3.056,0.264
20.815,10399.198,916.263,40.021,1166820.365,3.065,0.264
20.865,10445.062,918.265,40.073,1166819.447,3.073,0.264
20.915,10491.025,920.27,40.127,1166818.53,3.082,0.263
20.965,10537.089,922.278,40.175,1166817.612,3.09,0.263
21.015,10583.253,924.288,40.222,1166816.694,3.099,0.263
21.065,10629.518,926.3,40.271,1166815.777,3.108,0.262
21.115,10675.883,928.315,40.322,1166814.859,3.116,0.262
21.165,10722.349,930.332,40.373,1166813.942,3.125,0.262
21.215,10768.916,932.352,40.424,1166813.024,3.134,0.261
21.265,10815.584,934.375,40.476,1166812.106,3.143,0.261
21.315,10862.354,936.4,40.529,1166811.189,3.151,0.261
21.365,10909.224,938.428,40.585,1166810.271,3.16,0.26
21.415,10956.197,940.458,40.641,1166809.354,3.169,0.26
21.465,11003.27,942.492,40.698,1166808.436,3.178,0.26
21.515,11050.446,944.528,40.766,1166807.519,3.184,0.26
21.565,11097.723,946.568,40.835,1166806.601,3.191,0.259
21.615,11145.103,948.612,40.906,1166805.683,3.198,0.259
21.665,11192.584,950.659,40.978,1166804.766,3.205,0.259
21.715,11240.169,952.71,41.05,1166803.848,3.212,0.259
21.765,11287.855,954.764,41.124,1166802.931,3.219,0.259
