# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Mass (g),Mach number (​),Drag coefficient (​)
0.01,0,0.008,0.78,1446581.65,0.006,0.378
0.02,0.001,0.218,20.974,1446581.541,0.006,0.379
0.03,0.005,0.479,26.155,1446581.375,0.006,0.379
0.04,0.011,0.741,26.155,1446581.208,0.007,0.378
0.05,0.019,1.002,26.155,1446581.041,0.007,0.377
0.06,0.031,1.264,26.155,1446580.875,0.007,0.374
0.07,0.045,1.525,26.154,1446580.708,0.008,0.371
0.08,0.061,1.787,26.154,1446580.541,0.008,0.368
0.09,0.08,2.048,26.154,1446580.374,0.009,0.365
0.1,0.102,2.31,26.154,1446580.208,0.009,0.362
0.11,0.127,2.571,26.154,1446580.041,0.01,0.36
0.12,0.154,2.833,26.154,1446579.874,0.01,0.357
0.13,0.183,3.095,26.154,1446579.708,0.011,0.355
0.14,0.216,3.356,26.153,1446579.541,0.012,0.352
0.15,0.25,3.618,26.153,1446579.374,0.012,0.35
0.16,0.288,3.879,26.153,1446579.208,0.013,0.348
0.17,0.328,4.141,26.153,1446579.041,0.014,0.346
0.18,0.371,4.402,26.153,1446578.874,0.014,0.344
0.19,0.416,4.664,26.152,1446578.708,0.015,0.342
0.2,0.464,4.925,26.152,1446578.541,0.016,0.34
0.21,0.515,5.187,26.152,1446578.374,0.016,0.339
0.22,0.568,5.448,26.152,1446578.207,0.017,0.337
0.23,0.624,5.71,26.151,1446578.041,0.018,0.336
0.24,0.682,5.971,26.151,1446577.874,0.019,0.334
0.25,0.743,6.233,26.151,1446577.707,0.019,0.333
0.26,0.807,6.494,26.151,1446577.541,0.02,0.332
0.27,0.873,6.756,26.15,1446577.374,0.021,0.33
0.28,0.942,7.017,26.15,1446577.207,0.021,0.329
0.29,1.013,7.279,26.15,1446577.041,0.022,0.328
0.305,1.125,7.671,26.149,1446576.791,0.023,0.326
0.328,1.305,8.259,26.148,1446576.416,0.025,0.324
0.361,1.598,9.142,26.147,1446575.853,0.028,0.321
0.411,2.088,10.449,26.146,1446575.02,0.031,0.316
0.461,2.643,11.756,26.144,1446574.186,0.035,0.313
0.511,3.264,13.064,26.142,1446573.353,0.039,0.31
0.561,3.949,14.371,26.139,1446572.519,0.043,0.307
0.611,4.701,15.678,26.137,1446571.686,0.046,0.305
0.661,5.517,16.984,26.135,1446570.852,0.05,0.302
0.711,6.399,18.291,26.132,1446570.019,0.054,0.3
0.761,7.346,19.597,26.129,1446569.185,0.058,0.298
0.811,8.359,20.904,26.126,1446568.352,0.062,0.297
0.861,9.437,22.21,26.122,1446567.518,0.065,0.295
0.911,10.58,23.516,26.119,1446566.685,0.069,0.294
0.961,11.788,24.822,26.115,1446565.852,0.073,0.292
1.011,13.062,26.128,26.111,1446565.018,0.077,0.291
1.061,14.401,27.433,26.107,1446564.185,0.081,0.29
1.111,15.805,28.738,26.103,1446563.351,0.085,0.289
1.161,17.275,30.043,26.099,1446562.518,0.088,0.288
1.211,18.81,31.348,26.094,1446561.684,0.092,0.287
1.261,20.41,32.653,26.089,1446560.851,0.096,0.286
1.311,22.075,33.957,26.084,1446560.017,0.1,0.285
1.361,23.805,35.261,26.079,1446559.184,0.104,0.284
1.411,25.601,36.565,26.074,1446558.351,0.108,0.283
1.461,27.462,37.869,26.068,1446557.517,0.111,0.283
1.511,29.388,39.172,26.062,1446556.684,0.115,0.282
1.561,31.379,40.475,26.057,1446555.85,0.119,0.281
1.611,33.435,41.778,26.05,1446555.017,0.123,0.281
1.661,35.557,43.08,26.044,1446554.183,0.127,0.28
1.711,37.743,44.382,26.037,1446553.35,0.131,0.28
1.761,39.995,45.684,26.03,1446552.516,0.134,0.279
1.811,42.312,46.985,26.023,1446551.683,0.138,0.278
1.861,44.694,48.286,26.016,1446550.849,0.142,0.278
1.911,47.14,49.587,26.009,1446550.016,0.146,0.278
1.961,49.652,50.887,26.001,1446549.183,0.15,0.277
2.011,52.229,52.187,25.993,1446548.349,0.154,0.277
2.061,54.871,53.486,25.985,1446547.516,0.157,0.276
2.111,57.578,54.785,25.977,1446546.682,0.161,0.276
2.161,60.349,56.084,25.968,1446545.849,0.165,0.276
2.211,63.186,57.382,25.959,1446545.015,0.169,0.275
2.261,66.088,58.68,25.95,1446544.182,0.173,0.275
2.311,69.054,59.977,25.941,1446543.348,0.176,0.275
2.361,72.085,61.274,25.931,1446542.515,0.18,0.274
2.411,75.181,62.57,25.921,1446541.681,0.184,0.274
2.461,78.342,63.866,25.91,1446540.848,0.188,0.274
2.511,81.568,65.161,25.9,1446540.015,0.192,0.274
2.561,84.858,66.456,25.889,1446539.181,0.196,0.273
2.611,88.214,67.75,25.878,1446538.348,0.199,0.273
2.661,91.633,69.044,25.866,1446537.514,0.203,0.273
2.711,95.118,70.337,25.855,1446536.681,0.207,0.273
2.761,98.667,71.629,25.842,1446535.847,0.211,0.272
2.811,102.281,72.921,25.83,1446535.014,0.215,0.272
2.861,105.959,74.212,25.816,1446534.18,0.218,0.272
2.911,109.702,75.503,25.803,1446533.347,0.222,0.272
2.961,113.509,76.792,25.789,1446532.514,0.226,0.272
3.011,117.381,78.081,25.775,1446531.68,0.23,0.272
3.061,121.317,79.37,25.761,1446530.847,0.234,0.272
3.111,125.318,80.658,25.747,1446530.013,0.237,0.272
3.161,129.383,81.944,25.732,1446529.18,0.241,0.271
3.211,133.513,83.231,25.717,1446528.346,0.245,0.271
3.261,137.706,84.516,25.702,1446527.513,0.249,0.271
3.311,141.964,85.801,25.686,1446526.679,0.253,0.271
3.361,146.286,87.085,25.671,1446525.846,0.256,0.271
3.411,150.673,88.368,25.657,1446525.012,0.26,0.271
3.461,155.123,89.651,25.641,1446524.179,0.264,0.271
3.511,159.638,90.932,25.625,1446523.346,0.268,0.271
3.561,164.216,92.213,25.608,1446522.512,0.272,0.271
3.611,168.859,93.493,25.591,1446521.679,0.275,0.271
3.661,173.566,94.772,25.576,1446520.845,0.279,0.271
3.711,178.336,96.05,25.559,1446520.012,0.283,0.271
3.761,183.171,97.328,25.544,1446519.178,0.287,0.271
3.811,188.069,98.605,25.529,1446518.345,0.291,0.271
3.861,193.031,99.881,25.513,1446517.511,0.294,0.271
3.911,198.057,101.156,25.497,1446516.678,0.298,0.271
3.961,203.147,102.431,25.482,1446515.844,0.302,0.271
4.011,208.3,103.704,25.466,1446515.011,0.306,0.271
4.061,213.517,104.977,25.451,1446514.178,0.31,0.271
4.111,218.798,106.25,25.437,1446513.344,0.313,0.271
4.161,224.142,107.521,25.422,1446512.511,0.317,0.271
4.211,229.55,108.792,25.409,1446511.677,0.321,0.271
4.261,235.021,110.062,25.394,1446510.844,0.325,0.272
4.311,240.556,111.331,25.379,1446510.01,0.328,0.272
4.361,246.154,112.6,25.364,1446509.177,0.332,0.272
4.411,251.816,113.868,25.35,1446508.343,0.336,0.272
4.461,257.541,115.135,25.335,1446507.51,0.34,0.272
4.511,263.33,116.401,25.322,1446506.677,0.344,0.272
4.561,269.181,117.667,25.308,1446505.843,0.347,0.272
4.611,275.096,118.932,25.293,1446505.01,0.351,0.272
4.661,281.074,120.196,25.278,1446504.176,0.355,0.272
4.711,287.116,121.46,25.262,1446503.343,0.359,0.273
4.761,293.22,122.722,25.248,1446502.509,0.362,0.273
4.811,299.388,123.984,25.234,1446501.676,0.366,0.273
4.861,305.619,125.246,25.219,1446500.842,0.37,0.273
4.911,311.913,126.506,25.203,1446500.009,0.374,0.273
4.961,318.269,127.766,25.188,1446499.175,0.377,0.273
5.011,324.689,129.025,25.171,1446498.342,0.381,0.274
5.061,331.172,130.283,25.154,1446497.509,0.385,0.274
5.111,337.717,131.54,25.137,1446496.675,0.389,0.274
5.161,344.326,132.797,25.119,1446495.842,0.392,0.274
5.211,350.997,134.052,25.102,1446495.008,0.396,0.274
5.261,357.731,135.307,25.085,1446494.175,0.4,0.275
5.311,364.528,136.561,25.068,1446493.341,0.404,0.275
5.361,371.387,137.814,25.05,1446492.508,0.407,0.275
5.411,378.309,139.066,25.031,1446491.674,0.411,0.275
5.461,385.294,140.317,25.012,1446490.841,0.415,0.275
5.511,392.341,141.567,24.994,1446490.008,0.419,0.276
5.561,399.45,142.816,24.974,1446489.174,0.422,0.276
5.611,406.623,144.064,24.954,1446488.341,0.426,0.276
5.661,413.857,145.312,24.933,1446487.507,0.43,0.276
5.711,421.154,146.558,24.911,1446486.674,0.433,0.277
5.761,428.513,147.803,24.889,1446485.84,0.437,0.277
5.811,435.934,149.047,24.865,1446485.007,0.441,0.277
5.861,443.417,150.289,24.842,1446484.173,0.445,0.278
5.911,450.963,151.531,24.818,1446483.34,0.448,0.278
5.961,458.57,152.771,24.794,1446482.506,0.452,0.278
6.011,466.24,154.01,24.77,1446481.673,0.456,0.278
6.061,473.971,155.248,24.746,1446480.84,0.459,0.279
6.111,481.765,156.485,24.722,1446480.006,0.463,0.279
6.161,489.62,157.72,24.696,1446479.173,0.467,0.279
6.211,497.537,158.954,24.67,1446478.339,0.471,0.28
6.261,505.515,160.187,24.643,1446477.506,0.474,0.28
6.311,513.555,161.419,24.616,1446476.672,0.478,0.28
6.361,521.657,162.649,24.588,1446475.839,0.482,0.28
6.411,529.82,163.878,24.561,1446475.005,0.485,0.281
6.461,538.045,165.105,24.534,1446474.172,0.489,0.281
6.511,546.331,166.331,24.509,1446473.338,0.493,0.281
6.561,554.678,167.556,24.482,1446472.505,0.496,0.282
6.611,563.086,168.779,24.455,1446471.672,0.5,0.282
6.661,571.556,170.001,24.43,1446470.838,0.504,0.282
6.711,580.086,171.222,24.403,1446470.005,0.507,0.283
6.761,588.678,172.442,24.375,1446469.171,0.511,0.283
6.811,597.331,173.66,24.35,1446468.338,0.515,0.284
6.861,606.044,174.877,24.323,1446467.504,0.518,0.284
6.911,614.818,176.092,24.298,1446466.671,0.522,0.284
6.961,623.653,177.306,24.273,1446465.837,0.526,0.285
7.011,632.549,178.519,24.249,1446465.004,0.529,0.285
7.061,641.505,179.731,24.224,1446464.171,0.533,0.285
7.111,650.522,180.942,24.2,1446463.337,0.537,0.286
7.161,659.599,182.151,24.176,1446462.504,0.54,0.286
7.211,668.737,183.359,24.152,1446461.67,0.544,0.287
7.261,677.935,184.566,24.129,1446460.837,0.548,0.287
7.311,687.194,185.772,24.107,1446460.003,0.551,0.287
7.361,696.512,186.977,24.085,1446459.17,0.555,0.288
7.411,705.891,188.181,24.064,1446458.336,0.559,0.288
7.461,715.33,189.384,24.04,1446457.503,0.562,0.289
7.511,724.83,190.585,24.014,1446456.669,0.566,0.289
7.561,734.389,191.785,23.989,1446455.836,0.569,0.29
7.611,744.008,192.984,23.963,1446455.003,0.573,0.29
7.661,753.687,194.181,23.937,1446454.169,0.577,0.29
7.711,763.426,195.377,23.911,1446453.336,0.58,0.291
7.761,773.225,196.572,23.885,1446452.502,0.584,0.291
7.811,783.084,197.766,23.859,1446451.669,0.588,0.292
7.861,793.002,198.958,23.83,1446450.835,0.591,0.292
7.911,802.979,200.149,23.801,1446450.002,0.595,0.293
7.961,813.016,201.338,23.773,1446449.168,0.598,0.293
8.011,823.113,202.526,23.743,1446448.335,0.602,0.294
8.061,833.269,203.713,23.714,1446447.501,0.606,0.294
8.111,843.484,204.898,23.683,1446446.668,0.609,0.294
8.161,853.759,206.081,23.651,1446445.835,0.613,0.295
8.211,864.092,207.263,23.618,1446445.001,0.616,0.295
8.261,874.485,208.443,23.585,1446444.168,0.62,0.296
8.311,884.937,209.621,23.551,1446443.334,0.624,0.296
8.361,895.447,210.798,23.514,1446442.501,0.627,0.297
8.411,906.016,211.973,23.479,1446441.667,0.631,0.297
8.461,916.644,213.146,23.447,1446440.834,0.634,0.298
8.511,927.331,214.317,23.414,1446440,0.638,0.298
8.561,938.076,215.487,23.379,1446439.167,0.641,0.299
8.611,948.88,216.655,23.349,1446438.334,0.645,0.299
8.661,959.742,217.822,23.316,1446437.5,0.649,0.3
8.711,970.662,218.987,23.284,1446436.667,0.652,0.3
8.761,981.64,220.15,23.25,1446435.833,0.656,0.301
8.811,992.677,221.312,23.217,1446435,0.659,0.302
8.861,1003.771,222.472,23.185,1446434.166,0.663,0.302
8.911,1014.924,223.63,23.15,1446433.333,0.666,0.303
8.961,1026.135,224.787,23.117,1446432.499,0.67,0.303
9.011,1037.403,225.942,23.086,1446431.666,0.673,0.304
9.061,1048.729,227.096,23.057,1446430.832,0.677,0.304
9.111,1060.112,228.248,23.027,1446429.999,0.68,0.305
9.161,1071.553,229.398,22.998,1446429.166,0.684,0.305
9.211,1083.052,230.548,22.968,1446428.332,0.688,0.306
9.261,1094.608,231.695,22.936,1446427.499,0.691,0.306
9.311,1106.222,232.841,22.903,1446426.665,0.695,0.307
9.361,1117.892,233.986,22.872,1446425.832,0.698,0.308
9.411,1129.62,235.128,22.844,1446424.998,0.702,0.308
9.461,1141.405,236.27,22.813,1446424.165,0.705,0.309
9.511,1153.247,237.41,22.779,1446423.331,0.709,0.309
9.561,1165.146,238.548,22.746,1446422.498,0.712,0.31
9.611,1177.102,239.684,22.713,1446421.664,0.716,0.311
9.661,1189.114,240.819,22.68,1446420.831,0.719,0.311
9.711,1201.184,241.952,22.647,1446419.998,0.723,0.312
9.761,1213.31,243.084,22.611,1446419.164,0.726,0.312
9.811,1225.492,244.213,22.575,1446418.331,0.73,0.313
9.861,1237.731,245.341,22.539,1446417.497,0.733,0.314
9.911,1250.026,246.467,22.498,1446416.664,0.737,0.314
9.961,1262.378,247.591,22.459,1446415.83,0.74,0.315
10.011,1274.785,248.714,22.436,1446414.961,0.743,0.315
10.061,1287.25,249.859,22.875,1446413.967,0.747,0.316
10.111,1299.772,251.036,23.52,1446412.973,0.751,0.317
10.161,1312.354,252.245,24.166,1446411.98,0.754,0.317
10.211,1324.997,253.487,24.812,1446410.986,0.758,0.318
10.261,1337.703,254.761,25.455,1446409.992,0.762,0.319
10.311,1350.474,256.067,26.094,1446408.998,0.766,0.32
10.361,1363.311,257.405,26.734,1446408.005,0.77,0.32
10.411,1376.215,258.775,27.376,1446407.011,0.775,0.321
10.461,1389.189,260.177,28.017,1446406.017,0.779,0.322
10.511,1402.234,261.611,28.656,1446405.024,0.783,0.323
10.561,1415.351,263.077,29.292,1446404.03,0.788,0.324
10.611,1428.542,264.574,29.926,1446403.036,0.792,0.325
10.661,1441.809,266.104,30.558,1446402.042,0.797,0.326
10.711,1455.154,267.665,31.195,1446401.049,0.802,0.327
10.761,1468.577,269.258,31.829,1446400.055,0.807,0.328
10.811,1482.08,270.882,32.461,1446399.061,0.812,0.329
10.861,1495.666,272.538,33.094,1446398.067,0.817,0.33
10.911,1509.335,274.226,33.726,1446397.074,0.822,0.331
10.961,1523.089,275.945,34.351,1446396.08,0.827,0.332
11.011,1536.93,277.695,34.957,1446395.05,0.833,0.333
11.061,1550.859,279.451,35.098,1446393.896,0.838,0.335
11.111,1564.875,281.205,35.032,1446392.742,0.844,0.336
11.161,1578.979,282.954,34.962,1446391.588,0.849,0.337
11.211,1593.171,284.701,34.892,1446390.434,0.855,0.339
11.261,1607.449,286.443,34.817,1446389.28,0.86,0.34
11.311,1621.815,288.182,34.741,1446388.126,0.865,0.341
11.361,1636.267,289.918,34.663,1446386.972,0.871,0.343
11.411,1650.807,291.649,34.581,1446385.818,0.876,0.344
11.461,1665.432,293.376,34.496,1446384.664,0.881,0.345
11.511,1680.144,295.098,34.411,1446383.51,0.887,0.347
11.561,1694.942,296.817,34.325,1446382.356,0.892,0.348
11.611,1709.826,298.531,34.238,1446381.202,0.897,0.35
11.661,1724.795,300.24,34.155,1446380.048,0.903,0.351
11.711,1739.85,301.946,34.076,1446378.894,0.908,0.352
11.761,1754.99,303.648,34.001,1446377.74,0.913,0.353
11.811,1770.214,305.346,33.925,1446376.586,0.918,0.354
11.861,1785.524,307.041,33.849,1446375.432,0.924,0.355
11.911,1800.918,308.73,33.716,1446374.278,0.929,0.36
11.961,1816.397,310.412,33.57,1446373.124,0.934,0.365
12.011,1831.96,312.087,33.421,1446371.97,0.939,0.37
12.061,1847.606,313.754,33.273,1446370.816,0.945,0.376
12.111,1863.335,315.414,33.126,1446369.662,0.95,0.381
12.161,1879.147,317.067,32.97,1446368.508,0.955,0.387
12.211,1895.041,318.711,32.81,1446367.354,0.96,0.393
12.261,1911.018,320.348,32.647,1446366.2,0.965,0.399
12.311,1927.076,321.976,32.481,1446365.046,0.97,0.404
12.361,1943.215,323.596,32.316,1446363.892,0.975,0.41
12.411,1959.435,325.208,32.147,1446362.738,0.981,0.416
12.461,1975.736,326.811,31.978,1446361.584,0.986,0.422
12.511,1992.116,328.405,31.807,1446360.43,0.991,0.427
12.561,2008.576,329.991,31.632,1446359.276,0.996,0.433
12.611,2025.115,331.569,31.467,1446358.122,1.001,0.438
12.661,2041.733,333.14,31.399,1446356.968,1.005,0.438
12.711,2058.429,334.708,31.328,1446355.814,1.01,0.438
12.761,2075.204,336.273,31.258,1446354.66,1.015,0.438
12.811,2092.057,337.834,31.186,1446353.506,1.02,0.438
12.861,2108.987,339.392,31.117,1446352.352,1.025,0.438
12.911,2125.996,340.946,31.05,1446351.198,1.03,0.438
12.961,2143.082,342.497,30.984,1446350.044,1.035,0.438
13.011,2160.245,344.044,30.915,1446348.89,1.04,0.438
13.061,2177.486,345.588,30.851,1446347.736,1.045,0.438
13.111,2194.804,347.129,30.789,1446346.582,1.05,0.438
13.161,2212.199,348.668,30.751,1446345.428,1.054,0.437
13.211,2229.671,350.205,30.717,1446344.274,1.059,0.436
13.261,2247.22,351.74,30.689,1446343.12,1.064,0.434
13.311,2264.845,353.273,30.656,1446341.966,1.069,0.433
13.361,2282.547,354.805,30.627,1446340.812,1.074,0.432
13.411,2300.325,356.336,30.595,1446339.658,1.079,0.431
13.461,2318.18,357.865,30.561,1446338.504,1.084,0.43
13.511,2336.112,359.392,30.528,1446337.35,1.089,0.429
13.561,2354.12,360.918,30.491,1446336.196,1.093,0.427
13.611,2372.204,362.441,30.45,1446335.042,1.098,0.426
13.661,2390.364,363.962,30.389,1446333.888,1.103,0.426
13.711,2408.6,365.48,30.317,1446332.734,1.108,0.426
13.761,2426.912,366.994,30.243,1446331.58,1.113,0.426
13.811,2445.299,368.504,30.17,1446330.426,1.118,0.427
13.861,2463.762,370.011,30.097,1446329.272,1.122,0.427
13.911,2482.3,371.514,30.026,1446328.118,1.127,0.427
13.961,2500.913,373.013,29.951,1446326.964,1.132,0.427
14.011,2519.601,374.509,29.883,1446325.81,1.137,0.427
14.061,2538.364,376.002,29.816,1446324.656,1.142,0.428
14.111,2557.202,377.491,29.751,1446323.502,1.147,0.428
14.161,2576.113,378.977,29.688,1446322.348,1.151,0.428
14.211,2595.099,380.46,29.622,1446321.194,1.156,0.429
14.261,2614.159,381.939,29.56,1446320.04,1.161,0.429
14.311,2633.293,383.416,29.498,1446318.886,1.166,0.429
14.361,2652.501,384.889,29.436,1446317.731,1.17,0.429
14.411,2671.782,386.359,29.372,1446316.577,1.175,0.43
14.461,2691.137,387.826,29.309,1446315.423,1.18,0.43
14.511,2710.564,389.29,29.247,1446314.269,1.185,0.43
14.561,2730.066,390.751,29.181,1446313.115,1.189,0.431
14.611,2749.64,392.208,29.111,1446311.961,1.194,0.431
14.661,2769.286,393.662,29.042,1446310.807,1.199,0.431
14.711,2789.006,395.113,28.996,1446309.653,1.203,0.431
14.761,2808.798,396.562,28.956,1446308.499,1.208,0.43
14.811,2828.662,398.008,28.915,1446307.345,1.213,0.429
14.861,2848.598,399.453,28.871,1446306.191,1.218,0.429
14.911,2868.607,400.896,28.827,1446305.037,1.222,0.428
14.961,2888.688,402.336,28.786,1446303.883,1.227,0.427
15.011,2908.841,403.774,28.744,1446302.729,1.232,0.427
15.061,2929.065,405.21,28.702,1446301.575,1.236,0.426
15.111,2949.362,406.644,28.662,1446300.421,1.241,0.425
15.161,2969.73,408.077,28.629,1446299.267,1.246,0.425
15.211,2990.169,409.507,28.598,1446298.113,1.25,0.424
15.261,3010.68,410.936,28.562,1446296.959,1.255,0.423
15.311,3031.263,412.364,28.531,1446295.805,1.26,0.423
15.361,3051.917,413.79,28.504,1446294.651,1.264,0.422
15.411,3072.642,415.214,28.467,1446293.497,1.269,0.421
15.461,3093.438,416.636,28.429,1446292.343,1.274,0.421
15.511,3114.305,418.057,28.391,1446291.189,1.278,0.42
15.561,3135.244,419.475,28.353,1446290.035,1.283,0.419
15.611,3156.253,420.892,28.319,1446288.881,1.288,0.419
15.661,3177.333,422.307,28.287,1446287.727,1.292,0.418
15.711,3198.484,423.721,28.251,1446286.573,1.297,0.418
15.761,3219.705,425.133,28.218,1446285.419,1.302,0.417
15.811,3240.997,426.543,28.189,1446284.265,1.306,0.416
15.861,3262.359,427.951,28.15,1446283.111,1.311,0.415
15.911,3283.792,429.358,28.115,1446281.957,1.316,0.415
15.961,3305.295,430.763,28.08,1446280.803,1.32,0.414
16.011,3326.868,432.166,28.044,1446279.649,1.325,0.413
16.061,3348.511,433.567,28.007,1446278.495,1.33,0.413
16.111,3370.225,434.967,27.977,1446277.341,1.334,0.412
16.161,3392.008,436.365,27.942,1446276.187,1.339,0.411
16.211,3413.861,437.761,27.914,1446275.033,1.344,0.41
16.261,3435.784,439.156,27.885,1446273.879,1.348,0.41
16.311,3457.777,440.55,27.859,1446272.725,1.353,0.409
16.361,3479.839,441.942,27.837,1446271.571,1.358,0.408
16.411,3501.971,443.333,27.818,1446270.417,1.362,0.408
16.461,3524.172,444.724,27.796,1446269.263,1.367,0.407
16.511,3546.443,446.113,27.778,1446268.109,1.372,0.406
16.561,3568.784,447.501,27.76,1446266.955,1.376,0.406
16.611,3591.193,448.889,27.735,1446265.801,1.381,0.405
16.661,3613.673,450.275,27.705,1446264.647,1.386,0.404
16.711,3636.221,451.659,27.677,1446263.493,1.39,0.404
16.761,3658.839,453.043,27.65,1446262.339,1.395,0.403
16.811,3681.525,454.424,27.622,1446261.185,1.399,0.402
16.861,3704.281,455.805,27.589,1446260.031,1.404,0.402
16.911,3727.106,457.183,27.56,1446258.877,1.409,0.401
16.961,3749.999,458.561,27.529,1446257.723,1.413,0.4
17.011,3772.962,459.936,27.502,1446256.569,1.418,0.4
17.061,3795.993,461.311,27.469,1446255.415,1.423,0.399
17.111,3819.093,462.683,27.437,1446254.261,1.427,0.398
17.161,3842.261,464.055,27.413,1446253.107,1.432,0.398
17.211,3865.498,465.425,27.39,1446251.953,1.437,0.397
17.261,3888.804,466.794,27.37,1446250.799,1.441,0.396
17.311,3912.177,468.162,27.348,1446249.645,1.446,0.396
17.361,3935.62,469.528,27.329,1446248.491,1.451,0.395
17.411,3959.13,470.894,27.311,1446247.337,1.455,0.395
17.461,3982.709,472.26,27.293,1446246.183,1.46,0.394
17.511,4006.356,473.624,27.278,1446245.029,1.465,0.393
17.561,4030.072,474.987,27.262,1446243.875,1.469,0.393
17.611,4053.855,476.35,27.248,1446242.721,1.474,0.392
17.661,4077.707,477.712,27.225,1446241.567,1.479,0.392
17.711,4101.626,479.073,27.202,1446240.413,1.483,0.391
17.761,4125.614,480.432,27.18,1446239.259,1.488,0.39
17.811,4149.669,481.791,27.156,1446238.105,1.493,0.39
17.861,4173.793,483.148,27.13,1446236.951,1.497,0.389
17.911,4197.984,484.503,27.103,1446235.797,1.502,0.389
17.961,4222.243,485.858,27.075,1446234.643,1.506,0.388
18.011,4246.57,487.211,27.051,1446233.489,1.511,0.388
18.061,4270.964,488.563,27.031,1446232.335,1.516,0.387
18.111,4295.426,489.914,27.014,1446231.181,1.52,0.386
18.161,4319.956,491.264,26.996,1446230.027,1.525,0.386
18.211,4344.553,492.614,26.98,1446228.873,1.53,0.385
18.261,4369.217,493.963,26.967,1446227.719,1.534,0.385
18.311,4393.949,495.31,26.949,1446226.565,1.539,0.384
18.361,4418.748,496.658,26.935,1446225.411,1.544,0.384
18.411,4443.615,498.004,26.922,1446224.257,1.548,0.383
18.461,4468.548,499.35,26.91,1446223.103,1.553,0.383
18.511,4493.55,500.695,26.896,1446221.949,1.558,0.382
18.561,4518.618,502.039,26.882,1446220.795,1.562,0.381
18.611,4543.753,503.383,26.862,1446219.641,1.567,0.381
18.661,4568.956,504.726,26.845,1446218.487,1.572,0.38
18.711,4594.226,506.067,26.827,1446217.333,1.576,0.38
18.761,4619.563,507.408,26.807,1446216.179,1.581,0.379
18.811,4644.967,508.748,26.784,1446215.025,1.586,0.379
18.861,4670.438,510.087,26.762,1446213.871,1.59,0.378
18.911,4695.975,511.424,26.743,1446212.717,1.595,0.378
18.961,4721.58,512.761,26.726,1446211.563,1.6,0.377
19.011,4747.252,514.097,26.718,1446210.409,1.604,0.377
19.061,4772.99,515.433,26.709,1446209.255,1.609,0.376
19.111,4798.795,516.768,26.702,1446208.101,1.614,0.376
19.161,4824.667,518.103,26.691,1446206.947,1.619,0.375
19.211,4850.605,519.437,26.679,1446205.793,1.623,0.375
19.261,4876.61,520.771,26.667,1446204.639,1.628,0.374
19.311,4902.682,522.104,26.655,1446203.485,1.633,0.374
19.361,4928.821,523.436,26.64,1446202.331,1.637,0.373
19.411,4955.026,524.768,26.629,1446201.177,1.642,0.373
19.461,4981.297,526.099,26.62,1446200.023,1.647,0.372
19.511,5007.636,527.43,26.607,1446198.869,1.651,0.372
19.561,5034.04,528.76,26.593,1446197.714,1.656,0.371
19.611,5060.512,530.089,26.58,1446196.56,1.661,0.371
19.661,5087.049,531.418,26.563,1446195.406,1.666,0.37
19.711,5113.653,532.746,26.555,1446194.252,1.67,0.37
19.761,5140.324,534.073,26.544,1446193.098,1.675,0.369
19.811,5167.061,535.4,26.529,1446191.944,1.68,0.369
19.861,5193.864,536.726,26.518,1446190.79,1.685,0.368
19.911,5220.733,538.052,26.509,1446189.636,1.689,0.368
19.961,5247.669,539.377,26.498,1446188.482,1.694,0.367
20.011,5274.671,540.702,26.49,1446187.328,1.699,0.367
20.061,5301.739,542.026,26.488,1446186.174,1.703,0.366
20.111,5328.874,543.35,26.486,1446185.02,1.708,0.366
20.161,5356.074,544.675,26.483,1446183.866,1.713,0.365
20.211,5383.341,545.999,26.486,1446182.712,1.718,0.364
20.261,5410.674,547.323,26.485,1446181.558,1.723,0.364
20.311,5438.073,548.647,26.485,1446180.404,1.727,0.363
20.361,5465.539,549.972,26.482,1446179.25,1.732,0.363
20.411,5493.071,551.296,26.48,1446178.096,1.737,0.362
20.461,5520.669,552.62,26.474,1446176.942,1.742,0.361
20.511,5548.333,553.943,26.469,1446175.788,1.746,0.361
20.561,5576.063,555.266,26.464,1446174.634,1.751,0.36
20.611,5603.859,556.59,26.461,1446173.48,1.756,0.36
20.661,5631.722,557.913,26.456,1446172.326,1.761,0.359
20.711,5659.65,559.235,26.456,1446171.172,1.765,0.358
20.761,5687.645,560.558,26.455,1446170.018,1.77,0.358
20.811,5715.706,561.881,26.458,1446168.864,1.775,0.357
20.861,5743.833,563.204,26.462,1446167.71,1.78,0.357
20.911,5772.027,564.527,26.465,1446166.556,1.785,0.356
20.961,5800.286,565.85,26.468,1446165.402,1.789,0.355
21.011,5828.612,567.174,26.471,1446164.248,1.794,0.355
21.061,5857.004,568.497,26.472,1446163.094,1.799,0.354
21.111,5885.462,569.821,26.475,1446161.94,1.804,0.354
21.161,5913.986,571.145,26.479,1446160.786,1.809,0.353
21.211,5942.576,572.469,26.482,1446159.632,1.814,0.352
21.261,5971.233,573.793,26.486,1446158.478,1.818,0.352
21.311,5999.955,575.118,26.495,1446157.324,1.823,0.351
21.361,6028.744,576.443,26.5,1446156.17,1.828,0.351
21.411,6057.6,577.768,26.508,1446155.016,1.833,0.35
21.461,6086.521,579.093,26.51,1446153.862,1.838,0.35
21.511,6115.509,580.419,26.512,1446152.708,1.843,0.349
21.561,6144.563,581.744,26.513,1446151.554,1.848,0.348
